IBOVESPA - 2022
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;113.228,31;;;;;;;;;;
2;;111.894,36;;;;;;;;;;
3;103.921,59;111.695,94;;;;;;;;;;
4;103.513,64;112.244,94;;;;;;;;;;
5;101.005,64;;;;;;;;;;;
6;101.561,05;;;;;;;;;;;
7;102.719,47;111.996,40;;;;;;;;;;
8;;112.234,46;;;;;;;;;;
9;;;;;;;;;;;;
10;101.945,20;;;;;;;;;;;
11;103.778,98;;;;;;;;;;;
12;105.685,66;;;;;;;;;;;
13;105.529,50;;;;;;;;;;;
14;106.927,79;;;;;;;;;;;
15;;;;;;;;;;;;
16;;;;;;;;;;;;
17;106.373,87;;;;;;;;;;;
18;106.667,66;;;;;;;;;;;
19;108.013,47;;;;;;;;;;;
20;109.101,99;;;;;;;;;;;
21;108.941,68;;;;;;;;;;;
22;;;;;;;;;;;;
23;;;;;;;;;;;;
24;107.937,11;;;;;;;;;;;
25;110.203,77;;;;;;;;;;;
26;111.289,18;;;;;;;;;;;
27;112.611,65;;;;;;;;;;;
28;111.910,10;;;;;;;;;;;
29;;;;;;;;;;;;
30;;;;;;;;;;;;
31;112.143,51;;;;;;;;;;;
MÍNIMO;101.005,64;111.695,94;;;;;;;;;;
MÍNIMO;112.611,65;113.228,31;;;;;;;;;;
